,time,bottom_hardness,bottom_roughness,wave_depth,depth,nasc0,fish_depth0,nasc1,fish_depth1,nasc2,fish_depth2,nasc3,fish_depth3
48,2025-10-23 00:22:50,-0.6,0.5,2.03,45.33,49.94,19.53,46.78,19.53,3.16,38.33,0.0,0.0
49,2025-10-23 00:22:52,-7.69,0.5,4.03,45.33,214.04,22.23,209.98,22.23,4.06,42.23,0.0,0.0
50,2025-10-23 00:22:54,-5.82,0.5,2.83,45.33,27.99,18.23,20.74,13.43,7.25,37.93,0.0,0.0
51,2025-10-23 00:22:56,-18.87,0.5,2.23,45.33,76.8,32.73,75.46,32.73,1.35,39.63,0.0,0.0
52,2025-10-23 00:22:58,-10.68,0.5,2.43,45.33,40.38,18.53,38.48,18.33,1.89,43.53,0.0,0.0
53,2025-10-23 00:23:00,-9.07,0.5,2.03,45.33,97.59,13.03,88.66,13.03,8.93,41.03,0.0,0.0
54,2025-10-23 00:23:02,-9.83,0.5,2.03,45.33,24.3,18.53,20.88,18.53,3.42,42.03,0.0,0.0
55,2025-10-23 00:23:04,-5.21,0.5,2.53,45.33,37.9,38.33,10.33,14.73,27.57,42.33,0.0,0.0
56,2025-10-23 00:23:06,-2.33,0.5,2.03,45.33,30.55,32.13,18.27,23.33,12.28,38.33,0.0,0.0
57,2025-10-23 00:23:08,-6.07,0.5,2.03,45.33,29.31,20.33,26.28,17.93,3.03,36.63,0.0,0.0
58,2025-10-23 00:23:10,-9.83,0.5,2.03,45.33,223.36,25.23,220.09,25.23,3.26,36.53,0.0,0.0
59,2025-10-23 00:23:12,-5.86,0.5,2.03,45.33,39.43,31.73,36.27,26.13,3.16,36.73,0.0,0.0
60,2025-10-23 00:23:14,-2.83,0.5,2.03,45.33,59.03,23.83,43.32,11.23,15.71,36.43,0.0,0.0
